,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
0,Figo,Bangalore,380000,35056, Petrol,2015,Ford
1,Suzuki,Bangalore,465000,44000, Petrol,2016,Maruti
2,Creta,Bangalore,1350000,42917, Petrol,2018,Hyundai
3,Venue,Chennai,1019699,16112, Petrol ,2019,Hyundai
4,Jazz,Pune,713499,30988, Petrol ,2017,Honda
5,i20,Pune,391099,69163, Diesel ,2013,Hyundai
6,Suzuki,Pune,474299,42859, Petrol ,2015,Maruti
7,Corolla,Pune,1252999,34919, Petrol ,2017,Toyota
8,Amaze,Pune,393699,44940, Petrol,2013,Honda
9,Elite,Pune,730899,13687, Petrol ,2017,Hyundai
10,Suzuki,Pune,343099,29848, Petrol ,2018,Maruti
11,Jazz,Pune,707599,21426, Petrol ,2018,Honda
12,Suzuki,Pune,688899,68177, Diesel ,2016,Maruti
13,Compass,Pune,1421599,70650, Diesel ,2017,Jeep
14,Suzuki,Pune,399999,25730, Petrol ,2017,Maruti
15,Seltos,Pune,1473299,47096, Petrol ,2019,Kia
16,Innova,Bangalore,1025000,131000, Diesel,2012,Toyota
17,Elite,Bangalore,735000,26000, Petrol,2016,Hyundai
18,Creta,Chennai,600000,58460, Diesel ,2019,Hyundai
19,Seltos,Chennai,800000,48000, Petrol ,2020,Kia
20,Suzuki,Hyderabad,700000,26600, Petrol,2017,Maruti
21,EcoSport,Faridabad,820000,36000, Petrol,2019,Ford
22,Nano,Chennai,195000,39500, Petrol,2014,Tata
23,Q7,Chennai,1850000,76000, Diesel,2011,Audi
24,Ecosport,Pune,807499,23698, Petrol ,2017,Ford
25,Grand,Pune,522999,37860, Petrol ,2016,Hyundai
26,Suzuki,Pune,474299,91830, Petrol ,2015,Maruti
27,Elite,Pune,740899,31172, Petrol ,2019,Hyundai
28,Yaris,Pune,1141999,3243, Petrol ,2021,Toyota
29,Nexon,Pune,971299,9616, Petrol ,2020,Tata
30,Suzuki,Pune,640999,30249, Petrol ,2017,Maruti
31,Suzuki,Pune,676199,60875, Petrol ,2019,Maruti
32,Suzuki,Chennai,562399,25740, Petrol ,2017,Maruti
33,Ecosport,Pune,580899,38587, Petrol ,2014,Ford
34,Triber,Pune,770999,3108, Petrol ,2021,Renault
35,Amaze,Pune,531399,35353, Petrol ,2016,Honda
36,EON,Pune,367299,34748, Petrol ,2017,Hyundai
37,Suzuki,Pune,412199,2359, Petrol ,2020,Maruti
38,Creta,Pune,1460099,17814, Diesel ,2020,Hyundai
